challenge_name,overall_federal_agency,organization,category,date_announced,submission_close_date,judging_open_date,judging_close_date,public_voting_open_date,public_voting_close_date,winner_announcement_date,time_from_announcement_to_submission_close,time_from_submission_close_to_judging,time_for_judging,time_for_public_voting,time_from_judging_to_winner_announcement,total_prize_purse,grand_prize_winner,finalist_prize,number_of_finalists,other_prizes,about,judges,judging_criteria,type_of_competition,output,prize_type,
Solar Decathlon,Department of Energy,U.S. Department of Energy,Science & Technology,9/23/2009,9/23/2011,9/24/2011,9/30/2011,,,10/1/2011,730,1,6,0,1,N/A,N/A,N/A,N/A,recognition and award in front of government department,"Challenges collegiate teams to design, build, and operate solar-powered houses that are cost-effective, energy-efficient, and attractive.","Paul Hutton
Paul Hutton is founder and principal at Hutton Architecture Studio in Denver, Colorado.
 Michelle Kaufmann
Michelle Kaufmann is an advocate for smarter ways to design, build, and live. Her mission is to make thoughtful, sustainable design accessible.
Michelle's firm, Michelle Kaufmann Studio, was given the 2008 Top Firm Award by Residential Architect.
 Bob Schubert
Bob Schubert is a professor of architecture and associate dean for research in the College of Architecture and Urban Studies at Virginia Tech.
 A. Hunter Fanney
Dr. A. Hunter Fanney is the chief of and a supervisory mechanical engineer in the Building Environment Division of the Engineering Laboratory at the National Institute of Standards and Technology (NIST), which he joined in 1977.
 William Rittelmann
William Rittelmann, P.E., is a building energy consultant with 25 years of experience in commercial and residential projects.
 David A. Springer
David Springer is cofounder and president of Davis Energy Group, a 30-year-old mechanical engineering firm specializing in building energy efficiency.
 Susan Aiello
Susan Aiello is the founder and president of Interior Design Solutions.
 Brad Beeson
Brad Beeson provides green building consulting and marketing services for Bethesda Bungalows, an award-winning custom home builder in the Washington, D.C., metro area.
 Joyce Mason
A certified green professional, Joyce Mason markets new home communities for Pardee Homes, one of the nation's most prominent multiregional builders. Communications
 Ryan Dings
As the director of business development of Blu Homes, Ryan spearheaded its efforts to expand its sales network by planning for entry into markets in which customers share the same principles and philosophies embodied in Blu's healthy green homes.
 Mark Walhimer
Mark Walhimer Exhibition Design specializes in the planning, design, and management of interactive educational experiences. 
 Stacy Wilson
Stacy Wilson, ABC, is founder and president of Eloquor Consulting Inc, a firm specializing in internal communication.Affordability Contest Officials
 Matt Hansen
Matt Hansen is a principal at Licata Hansen Associates Architecture (LHAA) and founder/owner of Takeoff Construction Estimating.
 Ric Lacata
Ric Licata has more than 35 years of experience in architecture and planning. He is on the national board of directors of the American Institute of Architects (AIA) and is former president of the AIA, Nevada. He serves on U.S. Senate Majority Leader Harry Reid's Blue Ribbon Panel on Clean Energy.","The winner of the competition is the team that best blends affordability, consumer appeal, and design excellence with optimal energy production and maximum efficiency.﻿",1,5 - development of solar powered houses,Market Stimulation,
America’s Home Energy Education Challenge,Department of Energy,U.S. Department of Energy,Education,12/1/2011,12/31/2011,1/1/2012,3/14/2012,,,3/15/2012,30,1,73,0,1,"$200,000",N/A,N/A,N/A,,"America’s Home Energy Education Challenge is designed to teach students and families about energy, its use, and the link between saving energy and money. There are two parts of the program.

The two parts of the program allow all students to gain knowledge of energy and awareness of energy use and then learn about energy saving methods.

America’s Home Energy Education Challenge is designed to:

Educate students across the United States in grades 3-8 about energy and the benefits of energy efficiency
Teach students to recognize that lowering their home energy use saves money
Engage students and their families in a save energy, save money initiative. 
Sponsored by the U.S. Department of Energy and administered by the National Science Teachers Association, America’s Home Energy Education Challenge aims to enhance and extend existing energy-focused programs, provide specific home energy-saving tips, and make materials that support the learning of science and energy available to schools.  Participating schools compete for more than $200,000 in prizes distributed at the regional and national levels of the competition.

Home Energy Award, the first segment of the Challenge, inspires friendly competition among classes and schools.  These competitions (the group of schools or classes within a school that make up the local competition) in 11 regions of the U.S. compete for $102,000 in cash prizes the winning projects will be based on student participation rates, energy savings, and the overall creativity and quality of the participating local competition.

Students who are unable to monitor their individual home energy may participate in an optional activity of the Challenge that involves developing a home energy savings plan and a poster depicting that plan.  The Energy Conservation Plan and Poster Contest is designed to help participants who are unable to collect data and increase awareness of actions that could result in energy savings.  The winners of this optional program will be judged on their poster and their plan and compete for $48,000 in cash prizes.

Energy Fitness Award, the second segment of the Challenge, focuses directly on individual and classroom knowledge about energy.  This online component is a separate educational gaming activity; students can participate at any time and can return to play multiple times. Each student who successfully completes the Energy Fitness Award quiz will receive an Energy Fitness Badge.  Schools and/or classrooms with exemplary participation in this activity will earn additional prizes.",N/A,N/A,5-Working on environmental issue/problem,5-Reduce energy usage.,Participation,
U.S. Department of Energy National Clean Energy Business Plan Competition,Department of Energy,U.S. Department of Energy,Energy & Environment,1/1/2012,6/1/2012,6/1/2012,6/2/2012,,,6/2/2012,152,0,1,0,0,"$2,000,000",N/A,N/A,N/A,,"The U.S. Department of Energy (DOE) NationalClean Energy Business Plan Competition is designedto build regional networks of student-focused business creation contests across the country. Six regional organizations will receive a total of $2 million over three years, including $100,000 in annual prizesfor each competition’s winning team. The regional winners will then compete for the Grand Prize inDOE’s own inaugural National Competition in early summer 2012. Funded by DOE’s Office of Energy Efficiency and Renewable Energy (EERE), the regional competitions share common objectives thatinclude creating a new generation of entrepreneurs to address the nation energy challenges and capitalizingon America’s investment in clean energy research andeducation. The National Clean Energy Business Plan Competition is part of Startup America, the Obama Administration’s campaign to inspire and promoteentrepreneurship. This initiative will provide student ﻿participants with the skills to create new businesses and transform promising energy technologies from U.S. universities and national laboratories into innovative energy products that will help to createjobs, boost American competitiveness, and strengthenour economy.﻿",N/A,N/A,1-Energy Business Plan Competition between Colleges,1-Energy Business Plans,Network,
Communities on the Move Video Challenge,Department of Health and Human Services,Let's Move Faith and Communities,Health,2/11/2012,4/6/2012,4/16/2012,5/11/2012,2/11/2012,5/11/2012,6/30/2012,55,10,25,90,50,"$2,000","$1,000","$1,000",9,"First Prize and Popular Choice

    $1,000
An invitation for up to two representatives from the organization to attend a Let's Move! related event in Washington, DC. Opportunity to present winning video at the event. A $1,000 stipend for travel. The video will be featured on the Let’s Move! website

Honorable Mention (7)

An invitation for up to two representatives from the organization to attend a Let's Move! related event in Washington, DC. Videos will be featured on the Let’s Move! website
","The Let’s Move! Communities on the Move Video Challenge invites faith-based, community, and other non-profit organizations working with children to create short videos (one to three minutes long) highlighting their participation in Let’s Move! and efforts to reverse the trend of childhood obesity. Participating organizations are encouraged to create videos that showcase programs related to Let’s Move Faith and Communities that are creative, effective, sustainable, replicable, and inspirational. Videos should focus on at least one Let’s Move Faith and Communities focus area of activity, including efforts to promote healthy eating, physical activity, and access to healthy, affordable food for children. The goals of the challenge are to:

Recognize community efforts to help reduce the trend of childhood obesity
Encourage healthy eating through USDA’s MyPlate icon and nutrition information found on www.ChooseMyPlate.gov
Highlight the work of Let’s Move Faith and Communities and participating organizations in promoting healthy lifestyles for kids
Increase participation in faith- and community-based efforts to prevent childhood obesity.
Note: To participate, you must be a faith-based institution, community-based institution, or other non-profit organization, operating at the local or national level, and organized and domiciled in the United States. Each individual appearing in your video must provide a Video Image Release form and the person who created the video must complete a Video Copyright Resease form. For details on eligibility, please review the Official Rules.","Let's Move!, USDA, and HHS
Submissions will be judged by a panel of five to nine experts, all of whom will be federal employees from Let’s Move!, USDA, and HHS.﻿","Quality of the Idea
Video must convey a connection to Let’s Move! and cover one or more of the three Let’s Move! areas of interest: healthy eating, physical activity, and/or access to healthy affordable food.
Communication of the Idea
Video includes content that is compelling and instructive: (1) offers clear visual and audio quality, (2) encourages team-building and collaboration, and (3) does not compromise the health or safety of the video participants.
Potential Impact of the Idea
Activities represented in the video are sustainable and replicable by other entities: (1) adaptable to a variety of settings and resource levels; (2) support positive behaviors to reduce childhood obesity; and (3) impact is conveyed by personal accounts",4,4,Participation,
Connecting Generations Video Challenge,Department of Health and Human Services,Administration on Aging,Health,3/28/2011,5/9/2011,5/10/2011,5/19/2011,5/20/2011,5/27/2011,5/31/2011,42,1,9,7,12,$0,$0,$0,1,The winning team will receive a certificate of recognition and their entry will be publically announced and prominently displayed on the Administration on Aging’s Web site and Facebook page.,"The Connecting Generations Video Challenge is about promoting intergenerational connections and communicating the role seniors play in connecting communities across America. The contest will also promote connections between teams—and across communities—by creating a platform for teams to post comments and discuss the content of the videos.

All Americans are invited to participate by working as part of an intergenerational team—including at least one person age 60 or older and one person younger than 60—to create a video about the role older Americans play in connecting your community.  Your video should be 90 seconds or shorter and can be about whatever inspires you, as long as you connect the video to the theme Older Americans: Connecting the Community. From videos about seniors using technology to connect with others to older adults assisting in schools any video that demonstrates what seniors are doing to maintain and strengthen community connections is a candidate for this contest.","Nich Fox
U.S. Administration on Aging


Danielle Nelson
U.S. Administration on Aging


Nancy Henkin
The Intergenerational Center at Temple University


Angie Boddie
National Caucus and Center on Black Aged


Jan Newsome
Senior Service America","Content (50 percent)
Does the entry demonstrate, describe or portray what seniors are doing to build, strengthen, and maintain connections with their communities?

Creativity (30 percent)
Does the entry promote the theme Older Americans: Connecting the Community in an innovative, imaginative, and inspirational way?

Technique (20 percent)
Does the entry demonstrate excellence and quality in technical execution?

Entry Screening
Prior to online posting all entries will go through an initial screening process to eliminate any submissions that violate the competition’s rules or do not reflect the competition’s theme.

Winner Selection
Following the submission deadline, entries passing the initial screening will be evaluated by a panel of experts who will select the top 10 entries. Finalists will be posted on Challenge.gov, where the public will be invited to vote for the winner.",4,4,Exposition,
CDC Flu App Challenge,Department of Health and Human Services,Centers for Disease Control and Prevention,Science & Technology,4/6/2011,5/27/2011,5/28/2011,6/7/2011,,,6/8/2011,51,1,1,N/A,1,"$35,000","$15,000","$20,000",9,,"Applications and technology make it easier to communicate critical information about the flu and its impact. We’re looking for an innovative use of technology to raise awareness of influenza and/or educate consumers on ways to prevent and treat the flu.

We're challenging you to create new ways to use technology, be it for:

the web
a personal computer
a mobile handheld device
any platform broadly accessible to the open Internet.","Mark Smolinski
Director, Global Health Threats, Skoll Global Threats Fund


Peter Speyer
Director of Data Development, Institute for Health Metrics and Evaluation (IHME)


Jim Cashel
Chairman, Forum One Communications


Maureen S Marshall
Health Communications Specialist, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention


Fred Smith
Technology Team Lead, Electronic Media Branch, Centers for Disease Control and Prevention","Data Criteria
Does the app or game use a combination of creative and relevant data sets including at least one from data.CDC.gov? (20%)

Technical Implementation
Is the app implemented in a functional and elegant fashion? (20%)

Education Criteria
Does the software apply best practices for health and risk communication, as cited on www.cdc.gov/healthcommunication/HealthBasics? (20%)

Creativity
Is the app creative? Interesting? Fun to use? (40%)",2,2,Exposition,
Are You Prepared? Video Contest,Department of Health and Human Services,Centers for Disease Control and Prevention,Education,8/29/2011,10/11/2011,10/12/2011,10/27/2011,,,10/28/2011,43,1,15,0,1,$0,$0,$0,4,,"September is National Preparedness Month and CDC wants to know, Are You Prepared? We are challenging YOU to make a 60 second video that shows how you’re prepared for any emergency and reinforces the key message: “Get a Kit, Make a Plan, Be Informed.”  Individuals, groups, and even zombies can enter the contest. Participants are encouraged to use creative ways to prepare for an emergency.

Videos must not contain profanity, violence or weapons, explicit content, or personal attacks on people or organizations.  Only videos that do not contain obscene, hateful, offensive or slanderous material will be considered.  Videos must not have any visual or verbal mention of any websites other than CDC’s Emergency Preparedness website (http://emergency.cdc.gov).","Jamie F

Ashika B

Maggie S

Alanna M

Kara S","Effective & Creative Message
Creativity in addressing emergency preparedness, specifically the message of “Get a Kit, Make a Plan, Be Informed.” Other deciding factors are whether videos mentioned possible emergencies and how the emergency preparedness website is incorporated.",4,4,Participation,
Healthy Swimming Video Contest,Department of Health and Human Services,Centers for Disease Control and Prevention,Education,5/16/2011,7/4/2011,7/5/2011,7/22/2011,7/18/2011,7/22/2011,7/25/2011,49,1,17,4,3,"$1,000","$1,000",$0,1,,"Win $1,000 and have your video seen by thousands of people while helping to improve swimmer health! Contrary to popular belief, chlorine does not kill all germs instantly. Each summer, thousands of Americans get sick with recreational water illness (RWIs) after they go swimming. RWIs are illnesses caused by germs found in places where we swim. There are simple steps people can take to help prevent the spread of germs that cause RWIs, but we need your help to spread the word.

To help us educate swimmers, CDC's Healthy Swimming Program is asking the public to make a short, creative video that promotes the simple steps everyone can take to ensure a healthy and RWI-free swimming experience.

The video will also help direct people to CDC's Healthy Swimming Website where they can find additional details and resources on healthy swimming behaviors.

Your video could be a rap, sketch, dance, slide show, or anything you want it to be, as long as it includes our four key healthy swimming messages and appeals to a broad audience. The top videos will be posted on CDC's YouTube Channel for public vote. The first-place winner will receive $1,000, courtesy of the CDC Foundation. The winning video will also be featured on CDC's Healthy Swimming Website and CDC's YouTube Channel for thousands to see.",Healthy Swimming Video Contest Panel,Inclusion of 4 CDC Healthy Swimming Messages; Entertaining for all audiences; Creativity,4,4,Participation,
Surgeon General's Video Contest: Tobacco- I'm Not Buying It,Department of Health and Human Services,Centers for Disease Control and Prevention,Health,3/8/2012,4/20/2012,5/8/2012,5/24/2012,4/21/2012,5/7/2012,5/29/2012,43,18,16,16,5,"$10,000","$1,000",$500,16,,"In conjunction with the 2012 Surgeon General’s Report, “Preventing Tobacco Use among Youth and Young Adults”, the CDC invites youth aged (13-17) and young adults ages (18-25) to develop original videos that feature one or more of these SG Report findings:

Cigarette smoking by youth and young adults immediately begins a sequence of health consequences including addiction, reduced lung function, asthma, and heart disease.
Advertising and promotional activities by tobacco companies have been shown to cause the onset and continuation of smoking among adolescents and young adults.
Use of tobacco products by youth and young adults shows signs of increasing after years of steady decline.","Regina Schaefer
Director of the Division of Tobacco Control / American Academy of Pediatrics


Cathy Callaway
Associate Director, State and Local Campaigns / American Cancer Society


Christine Dela Rosa
Brand Manager / Legacy


Patricia Nez Henderson, M.D., M.P.H.
Vice President, Black Hills Center for American Indian Health


Fran Harding
Director, Center for Substance Abuse Prevention / The Substance Abuse and Mental Health Services Administration


Jeannette Noltenius, MA, PhD
National Director, National Latino Tobacco Control Network (NLTCN)


Lourdes Baezconde-Garbanati, PhD, MPH
Associate Professor in Preventative Medicine & Sociology / Keck School of Medicine, University of Southern California, Institute for Prevention Research


Elba Diaz-Toro, DMD, MSD, MPH
Project Director Associate Professor, School of Dental Medicine / PR Comprehensive Cancer Center - UPR, Medical Science Campus, University of Puerto Rico


Juan Flores, M.U.P.
Executive Director, La Fe Policy Research and Education Center


Juan Carlos Velazquez, MA
Director of Multicultural Social Marketing, HMA Associates, Inc.","Creativity, Use of one or more key SG Report findings, and Use or inclusion of the official SGR findings website
Submissions should focus on the health impacts of tobacco use and how young people perceive influences from their peers and/or environments to smoke, including how the tobacco industry may influence their choices through targeted products and marketing.",4,4,Participation,
Innovate 4 Healthcare Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,Science & Technology,2/3/2012,3/7/2012,3/8/2012,4/19/2012,,,4/20/2012,33,1,42,N/A,1,"$30,000","$20,000","$10,000",3,Final presentation for winners at a ceremony in Washington DC,"The University of Maryland's Robert H. Smith School of Business has launched the Innovate 4 Healthcare Challenge, an national initiative that challenges students to develop a patient-centered, healthcare business model that uses information technology (IT) to facilitate interaction between patients and their healthcare providers. Students from across the country are invited to form teams of up to five people to compete for a $20,000 first prize and a pair of $5,000 runner-up designations. Conducted by the Smith School’s Center for Health Information and Decision Systems (CHIDS), the Innovate 4 Healthcare Challenge will culminate in an April 20, 2012 round of presentations at the Ronald Reagan Building and International Trade Center in Washington DC. The winning team will combine an innovative idea, excellent market strategy and an outstanding presentation.","Leaders in the fields of health, policy, academe and business",The final round judges will evaluate all submissions based on addressing the key question of patient and HCP engagement described earlier according to the following general criteria: 1) Ability to drive patient provider engagement for improved health outcomes; 2) Demonstrated market potential of solution with a sustainable model; 3) Innovation/originality; 4) Alignment to J&J business(es); 5) Quality of presentation.,2,1,Market Stimulation,
EHR Accessibility Module Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,"Science & Technology, Health",1/30/2012,7/24/2012,7/25/2012,8/12/2012,,,8/13/2012,176,1,18,N/A,1,"$85,000","$60,000","$25,000",3,demo opportunity for thw first prize winner,Accessibility and usability in health IT are high priority issues for the disability community. A consumer-oriented system providing easy-to-use access to health information would be a valuable tool and significantly improve the health of disabled individuals. ONC is challenging multidisciplinary teams to create and test a module or application that makes it easy for disabled consumers to access and interact with the health data stored in their EHRs.,ONC review panel,"The ONC review panel will make selections based upon the following criteria: 1) Design and Usability for the Disabled User; 2) Creative and Innovative Use of Technologies; 3) Compliance with disability and accessibility standards including 508 and W3C; 4) Integration of Module with HIT and EHR Systems; 5) Potential for Impact and Ability to Drive Adoption and Engagement; 6) Use of NwHIN standards including transport, content, and vocabularies.",1 and 3,2 and 5-An accessibility system,Exposition,
Discharge Follow-Up Appointment Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,Science & Technology,1/26/2012,5/1/2012,5/2/2012,5/23/2012,,,5/24/2012,96,1,21,N/A,1,"$5,000","$5,000",$0,3,,"In order to support broader adoption and uptake of promising IT-enabled interventions that address care transitions, ONC is challenging software developers to create an easy-to-use web-based tool that will make post-discharge follow-up appointment scheduling a more effective and shared process for care providers, patients and caregivers. In addition, developers will need to articulate a plan for broader adoption at the community level.  Submissions can be existing applications, or applications developed specifically for this challenge. The technology developed will remain proprietary to the developer and will not become open source.",N/A,"1) Effectively integrate inpatient data and provide structured support for self-care; 2) Integrate design and usability concepts to drive patient and provider adoption and engagement; 3) Demonstrate creative and innovative uses of mobile technologies; 4) Demonstrate potential to improve health status for individuals and the community; 5) Leverage NwHIN standards including transport, content, and vocabularies; 6) Demonstrate ability to implement the intervention in a pilot setting, and ultimately to scale in a community.",2,3,Exposition,
Healthy People 2020 Leading Health Indicators App Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,Science & Technology,10/31/2011,3/10/2012,3/11/2012,4/9/2012,,,4/10/2012,131,1,29,N/A,1,"$15,000","$10,000","$5,000",3,,Developers and public health experts are expected to co-design an application that makes the health indicators customizable and easy to use.  Successful applications will make it easy for users to use the Healthy People 2020 Leading Health Indicators and mash up data in meaningful ways.,"Lorien Abroms, ScD – Professor, The George Washington University, School of Public Health and Health Services
Joanne Andreadis, PhD – Senior Advisor for Laboratory Preparedness, Centers for Disease Control and Prevention
Jonathan Cho – Chief, Communications Technology Branch, National Cancer Institute
Ted Eytan, MD, MS, MPH – Director, The Kaiser Permanente Federation, Kaiser Permanente
Gabriel Silberman, PhD – Senior Vice President and Director, CA Labs
Andrea Grimes Parker, PhD – Postdoctoral Researcher, College of Computing, Georgia Institute of Technology
Bill Curtis-Davidson – Accessibility Business Consulting and Solutions Leader, IBM Human Ability & Accessibility Center
Kathy Baxter – Senior User Experience Researcher & UX Infrastructure Manager, Google
Arthur Murphy – Principal, Aeolin Solutions ﻿","Easy Access – The solution provides stakeholders with easy access to comprehensive suite of information resources to maximize their success in achieving the objectives of their choice. 
Platform Neutrality – The solution is platform-neutral and can be accessed by simple web browser and/or mobile device.
User Appeal – The solution has the potential to engage users, including those who may be on the front lines of prevention but are not web-savvy.
Innovation of Design – The solution is original, creative, and empowering.
Broad Applicability – The solution has potential for expansion and reuse.
Integration of Health Data – The solution has multiple data sets.
Evidence of Co-design and Collaboration – The solution has been thoughtfully designed with public health or healthcare subject matter experts.",2,2,Exposition,
One in a Million Hearts Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,"Science & Technology, Health",10/3/2011,1/1/2012,1/2/2012,3/24/2012,,,3/25/2012,90,1,82,N/A,1,"$75,000","$50,000","$25,000",3,,"This challenge is a multidisciplinary call to innovators and developers to create an application that activates and empowers patients to get healthy and improve their heart health. The application should achieve the following:

Provide information about the Million Hearts initiative
Have patients enter relevant information about their health. Examples include:
Age, body mass index, blood pressure, cholesterol level, smoking status, pertinent medical history, aspirin and cholesterol-lowering agent use
Use the patient reported data and ABCS framework to generate targeted recommendations to the patient. Examples include:
Providing education and resources to help reduce fat and salt intake, increase exercise, lose weight, stop smoking, or increase medication adherence (e.g., to improve control of high blood pressure)
Using GPS technology to recommend nearby walks or places to eat healthier
Recommending to the high risk patient to see a primary care doctor if not on aspirin or cholesterol-lowering medication
Linking to online communities dedicated to improving heart health
Be able to send patient information to electronic health records via Direct","Faraz Ahmad
Hospital of the University of Pennsylvania
Craig Beam
American Heart Association
Lee Goldberg
American College of Cardiology
Jason Mitchell
American Academy of Family Physicians
Denise Simons-Morton
National Heart, Lung, and Blood Institute
Joe Ternullo
Center for Connected Health
Janet Wright
HHS Million Hearts initiative","Patient engagement
Entries will be rated on the ability to incorporate patient reported information
Quality and accessibility of information and resources
Entries will be rated on quality and evidence base of the provided information and interventions using plain language (http://www.plainlanguage.gov/howto/guidelines/reader-friendly.cfm)
This includes resources linked to e.g. informational websites, online communities and social media sites
Entries should be useful to patients with a range of health literacy levels (http://www.health.gov/healthliteracyonline)
Targeted and actionable information
Entries will be rated on the extent to which they provide tailored, accurate information and recommendations based on patient reported information.
Entries will be rated on ability to transmit patient-entered information to electronic health records via Direct (http://directproject.org/)
Innovativeness and Usability
Entries will be rated on the extent to which they are innovative and have an easy-to-use interface for patients with a range of experience and comfort level with technology
Platform Neutrality
Entries should be platform neutral but optimized for mobile device web access
Bonus points will be awarded for creating both English and Spanish versions",2,2,Participation,
popHealth Tool Development Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,"Science & Technology, Health",10/3/2011,1/21/2012,1/22/2012,2/19/2012,,,2/20/2012,110,1,28,N/A,1,"$100,000","$75,000","$25,000",3,,"The popHealth Tool Development Challenge tasks developers with creating applications that leverage the popHealth open source framework, existing functionality, standards, and sample datasets to improve patient care and provide greater insight into patient populations. Specific concepts that can be developed using popHealth include applications that can:

Help providers improve patient safety
Help providers use the quality measure calculations to better engage with patients
Help providers address disparities in the care they provide to their patient populations
Help providers engage patients and families
Aggregate data from across multiple sites to allow public health entities to develop a more clearly defined picture of the health status and risk factors within their communities
Visualize information in the popHealth system related to meaningful use measures
Target patients with high disease burden in need of early intervention (“hotspotting”)","Allen Traylor
Child and Health Development Interactive System (CHADIS)
Barbara Detering
Group Health Cooperative (GHC)
Tom Agresta
UCONN Health Center (UCHC)
Jacob Reider
ONC
Lauren Richie
ONC","Ability to integrate with popHealth system and build upon existing functionality
Impact on stakeholders, such as:
Clear impact on helping providers improve patient safety
Clear impact on helping providers better engage with patients
Improving public health entities’ ability to identify populations at risk
Usability and design from the standpoint of all stakeholders
Creativity and Innovation",3,2,Exposition,
Ensuring Safe Transitions from Hospital to Home,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,Science & Technology,9/12/2011,11/17/2011,11/18/2011,12/14/2011,,,12/15/2011,66,1,26,N/A,1,"$40,000","$25,000","$15,000",3,,"The Office of the National Coordinator for Health Information Technology (ONC), in collaboration with the Partnership for Patients, seeks to stimulate innovative approaches to care transitions and improving patient safety by launching the ”Ensuring Safer Transitions from Hospital to Home Challenge.” The Partnership for Patients is a new nationwide public-private partnership launched by Secretary of Health and Human Services Kathleen Sebelius to tackle all forms of harm to patients. Its aims include a 20% reduction in readmissions over a three year period and a 40% reduction in preventable hospital acquired conditions.

 

Nearly one in five patients discharged from a hospital will be readmitted within 30 days. A large proportion of readmissions can be prevented by improving communications and coordinating care before and after discharge. The Centers for Medicare and Medicaid Services (CMS) provides a discharge checklist to help patients and their caregivers prepare to leave a hospital, nursing home, or other care setting. Research has shown that empowering patients and caregivers with information and tools to manage the next steps in their care more confidently is a very effective way to reduce errors, decrease complications, and prevent a return visit to the hospital.","Don Detmer
American College of Surgeons
Gail Hunt
National Alliance For Caregiving
Brian Jack
Boston University
Joanne Lynn
Altarum Institute
Les Morgan
Growth House
Fred Trotter
Hacktivist","Effectively integrate inpatient data and provide structured support for self-care
Integrate design and usability concepts to drive patient adoption and engagement
Demonstrate creative and innovative uses of mobile technologies
Demonstrate potential to improve health status for individuals and/or the community
Leverage NwHIN standards including transport, content, and vocabularies",2,1,Exposition,
Reporting Device Adverse Events Challenge,Department of Health and Human Services,Office of the National Coordinator for Health Information Technology,"Science & Technology, Health",9/12/2011,2/4/2012,2/5/2012,2/19/2012,,,2/20/2012,145,1,14,N/A,1,"$40,000","$25,000","$15,000",3,,"The “Reporting Device Adverse Events Challenge” asks multi-disciplinary teams to develop an application that facilitates the reporting of adverse events related to medical devices, whether implanted or used in the hospital, clinic, or home. This application would:

Make it easy for patients to report adverse events that occur with any medical device to their provider;
Enable providers to import relevant EMR or PHR data to the patient report and, in turn, submit it to the MAUDE system;
The application only needs to be able to download data from one or more systems and does not need to be fully integrated across all EMR/PHR platforms;
Capture useful demographic and other relevant information from each patient including age, gender, race, relevant diagnoses, and following physician;
Capture information about the type of device used, the individual who implanted or distributed the device, and where the implantation or distribution occurred;
Be platform-agnostic and easily accessible; and
Leverage and extend NwHIN standards and services including, but not limited to, transport (Direct, web services), content (Transitions of Care, CCD/CCR), and standardized vocabularies","Thomas Gross
Food and Drug Administration
Shannon Brownlee
New America Foundation","Effectiveness of the system in facilitating adverse event reporting
Usability and design from the standpoint of all stakeholders
Ability to integrate with electronic health records and other data sources
Creativity and Innovation
Leverage NwHIN standards including transport, content, and vocabularies",1 and 5 - working on a problem related to a medical field,1 and 2,Exposition,
